player_name,team_code,jersey_number,position,height_feet_inches,weight_pounds,college_name,country_name
Ayo Dosunmu,CHI,11.0,G,6-4,200 lbs,Illinois,USA
Andre Drummond,PHI,1.0,C,6-11,279 lbs,Connecticut,USA
Kris Dunn,LAC,8.0,G,6-3,205 lbs,Providence,USA
Ryan Dunn,PHX,0.0,F,6-7,216 lbs,Virginia,USA
Kevin Durant,HOU,7.0,F,6-11,240 lbs,Texas,USA
Jalen Duren,DET,0.0,C,6-10,250 lbs,Memphis,USA
Nikola Đurišić,ATL,22.0,G,6-8,214 lbs,Mega Basket,Belgium
Tari Eason,HOU,17.0,F,6-8,215 lbs,Louisiana State,USA
Zach Edey,MEM,14.0,C,7-3,305 lbs,Purdue,Canada
VJ Edgecombe,PHI,77.0,G,6-4,180 lbs,Baylor,USA
Anthony Edwards,MIN,5.0,G,6-4,225 lbs,Georgia,USA
Justin Edwards,PHI,11.0,F,6-7,203 lbs,Kentucky,USA
Keon Ellis,SAC,23.0,G,6-4,175 lbs,Alabama,USA
Joel Embiid,PHI,21.0,C-F,7-0,280 lbs,Kansas,Cameroon
Noa Essengue,CHI,24.0,F,6-8,200 lbs,-,France
Tyson Etienne,BKN,10.0,G,6-0,200 lbs,Wichita State,USA
Drew Eubanks,SAC,19.0,F-C,6-10,245 lbs,Oregon State,USA
Tosan Evbuomwan,NYK,20.0,F,6-8,217 lbs,Princeton,United Kingdom
Danté Exum,DAL,0.0,G,6-5,214 lbs,Australian Institute of Sport,Australia
Jeremiah Fears,NOP,0.0,G,6-3,190 lbs,Oklahoma,USA
Kyle Filipowski,UTA,22.0,C,6-11,250 lbs,Duke,USA
Dorian Finney-Smith,HOU,2.0,F,6-7,220 lbs,Florida,USA
Cooper Flagg,DAL,32.0,F,6-9,205 lbs,Duke,USA
Rasheer Fleming,PHX,20.0,F,6-9,240 lbs,St. Joseph's (PA),USA
Trentyn Flowers,CHI,9.0,F,6-9,185 lbs,Adelaide,USA
Simone Fontecchio,MIA,0.0,F,6-7,209 lbs,Baskonia,Italy
De'Aaron Fox,SAS,4.0,G,6-3,185 lbs,Kentucky,USA
Enrique Freeman,MIN,25.0,F,6-9,220 lbs,Akron,USA
Johnny Furphy,IND,12.0,G,6-8,200 lbs,Kansas,Australia
Daniel Gafford,DAL,21.0,F-C,6-10,265 lbs,Arkansas,USA
Myron Gardner,MIA,,F,6-5,220 lbs,Arkansas-Little Rock,USA
Darius Garland,CLE,10.0,G,6-1,192 lbs,Vanderbilt,USA
Luka Garza,BOS,52.0,C,6-10,243 lbs,Iowa,USA
Keyonte George,UTA,3.0,G,6-4,185 lbs,Baylor,USA
Kyshawn George,WAS,18.0,F,6-8,200 lbs,Miami,Switzerland
Paul George,PHI,8.0,F,6-8,220 lbs,Fresno State,USA
Josh Giddey,CHI,3.0,G,6-7,216 lbs,NBA Global Academy,Australia
Shai Gilgeous-Alexander,OKC,2.0,G,6-6,195 lbs,Kentucky,Canada
Anthony Gill,WAS,16.0,F,6-7,230 lbs,Virginia,USA
Collin Gillespie,PHX,12.0,G,6-1,195 lbs,Villanova,USA
Rudy Gobert,MIN,27.0,C,7-1,258 lbs,Cholet,France
Vladislav Goldin,MIA,50.0,C,7-0,250 lbs,Michigan,Russia
Hugo González,BOS,28.0,G,6-6,200 lbs,-,Spain
Jordan Goodwin,PHX,23.0,G,6-3,215 lbs,St. Louis,USA
Aaron Gordon,DEN,32.0,F,6-8,235 lbs,Arizona,USA
Eric Gordon,PHI,23.0,G,6-3,215 lbs,Indiana,USA
Jerami Grant,POR,9.0,F,6-7,213 lbs,Syracuse,USA
AJ Green,MIL,20.0,G,6-4,190 lbs,Northern Iowa,USA
Draymond Green,GSW,23.0,F,6-6,230 lbs,Michigan State,USA
